### LAYER 1 ###
__  22  __  __  18  18  25  __  __  __  13  __  __  44  12  29  __  __
69  GA  18  18  18  02  GA  25  __  56  GA  13  61  44  12  GA  66  __
25  19  69  GA  65  02  54  04  39  03  03  55  GA  44  GA  20  __  __
40  GA  53  07  65  65  GA  04  39  38  38  38  GA  00  00  GA  07  __
25  08  GA  07  17  __  21  21  GA  38  __  21  00  00  07  07  60  60
25  GA  08  32  GA  29  05  05  05  04  GA  GA  00  00  49  11  GA  55
25  25  GA  __  31  05  05  GA  06  04  GA  28  GA  68  49  GA  01  26
48  __  59  __  31  05  GA  58  58  27  27  27  27  GA  37  37  GA  14
48  __  59  31  31  23  GA  GA  33  GA  27  GA  37  37  37  GA  42  __
48  GA  67  31  31  41  GA  28  58  67  67  67  67  35  41  42  41  __
48  67  41  41  41  41  03  03  68  GA  33  51  24  35  35  __  41  __
__  48  50  50  58  __  54  54  __  __  33  51  GA  47  35  69  41  41
__  48  GA  50  GA  10  45  GA  64  40  GA  57  06  47  35  GA  63  41
__  48  __  50  50  50  64  62  62  GA  46  57  57  GA  57  57  41  41
__  48  __  59  GA  50  GA  50  46  42  30  28  67  67  67  27  39  27
__  GA  36  08  08  08  GA  46  GA  37  37  GA  51  GA  13  27  GA  27
__  49  48  48  __  08  43  __  22  __  __  28  28  13  __  __  __  __

### LAYER 2 ###
__  22  18  07  07  25  25  __  __  __  13  __  __  44  12  29  __  __
69  18  18  07  25  02  54  25  __  56  24  61  61  44  18  18  66  __
25  19  69  07  __  02  54  04  39  03  55  55  63  44  26  26  07  __
40  53  53  07  07  02  54  04  61  61  61  61  21  44  07  07  07  __
__  08  02  07  17  25  54  21  61  27  11  21  21  11  07  __  60  60
25  25  08  32  34  29  25  41  05  04  11  17  09  09  49  60  55  55
25  25  08  __  34  25  25  41  06  48  10  __  12  68  60  37  26  26
48  08  59  __  34  23  35  35  35  48  27  27  27  35  19  37  26  14
08  08  59  31  34  23  35  33  33  27  27  45  27  35  52  41  41  41
08  50  67  31  34  23  14  28  58  58  58  51  67  35  41  42  42  41
08  67  41  31  34  41  54  03  68  53  33  51  24  35  35  27  27  41
08  50  50  31  34  34  54  54  34  34  34  34  34  47  69  69  __  41
08  60  60  31  05  10  45  56  64  40  15  06  06  47  __  66  63  41
08  __  59  31  31  50  64  64  64  42  46  57  57  23  13  57  41  41
08  48  59  59  59  31  31  23  23  42  42  28  67  23  13  27  39  41
__  47  36  08  09  43  46  23  32  22  37  36  51  51  13  27  15  27
__  49  __  48  09  08  43  23  22  28  __  __  28  13  28  41  __  __

### LAYER 3 ###
__  22  18  18  07  07  25  07  07  07  13  07  07  44  12  29  __  __
69  18  25  25  25  02  54  25  __  56  24  61  61  44  18  66  66  __
69  19  69  02  02  02  54  10  39  03  55  61  63  44  44  26  07  __
40  53  53  02  07  25  54  10  04  04  19  61  07  07  07  26  26  __
69  08  02  02  17  25  54  10  10  10  11  27  27  11  44  26  26  60
25  08  08  32  __  29  54  __  05  10  10  17  27  27  49  26  26  55
43  25  08  25  25  25  54  __  06  04  10  __  12  68  27  37  37  26
48  __  08  25  23  23  54  35  35  35  35  35  35  35  19  19  11  14
__  __  08  14  23  23  54  03  33  33  33  45  27  35  26  26  14  14
__  50  08  14  23  23  54  03  68  33  33  51  67  35  41  27  14  __
__  67  08  31  23  23  54  03  68  53  33  24  24  35  35  27  28  __
__  08  08  31  34  34  34  34  34  34  34  34  34  47  69  28  28  28
__  08  59  31  05  10  45  56  __  40  15  06  06  47  __  66  63  28
__  08  08  31  31  10  50  46  46  46  46  57  57  57  13  28  28  28
08  48  08  08  31  31  31  46  23  23  23  23  23  23  44  27  39  41
__  47  36  08  __  43  46  46  32  42  37  36  51  23  67  13  15  27
__  49  49  48  09  08  43  23  22  28  42  22  22  23  67  22  __  __

### LAYER 4 ###
__  22  22  18  18  25  25  25  25  25  13  13  __  12  12  29  __  __
69  18  22  22  22  25  22  25  22  56  24  13  13  12  18  66  66  __
69  19  69  69  07  25  07  10  39  03  55  07  63  12  44  66  __  __
40  53  53  __  07  25  25  03  03  03  11  07  13  12  44  66  07  __
69  08  53  __  17  17  25  03  21  27  27  21  21  12  44  66  55  60
25  25  53  32  __  29  25  03  05  67  11  17  12  12  49  66  55  55
43  25  53  25  25  25  25  03  06  48  10  __  12  68  49  66  37  __
48  25  53  53  53  05  14  03  06  68  68  68  68  68  19  66  11  14
__  25  25  25  53  23  23  03  __  68  45  45  27  27  26  66  42  __
__  50  67  14  53  53  53  03  68  68  51  51  67  67  41  66  14  __
__  50  50  25  23  23  53  53  53  53  51  24  24  69  69  66  28  __
__  50  50  50  25  23  14  14  14  06  06  06  06  47  69  66  28  28
__  60  60  50  05  23  45  56  10  40  15  06  06  __  __  66  63  28
__  67  59  50  50  10  10  10  10  28  15  15  15  15  13  28  28  28
08  48  22  22  22  22  22  22  28  42  28  23  15  15  44  27  39  41
__  47  36  67  60  60  23  22  32  42  __  36  51  15  15  15  15  27
__  49  49  48  09  08  43  22  22  23  23  23  23  23  42  22  __  __

### LAYER 5 ###
__  22  22  __  18  18  18  18  07  07  07  07  __  29  29  29  __  __
69  18  22  22  22  __  __  07  07  56  24  24  55  55  18  29  __  __
69  22  22  19  07  07  07  07  39  19  55  55  63  55  44  __  __  __
40  22  19  19  19  19  19  19  19  19  25  25  63  55  55  55  07  __
69  22  67  60  17  17  17  17  17  17  27  __  63  63  55  55  55  60
25  22  25  32  25  29  67  67  05  17  17  17  63  63  55  55  55  55
43  22  25  25  25  05  05  05  05  10  10  __  63  41  49  37  37  __
48  48  67  08  58  05  48  48  06  10  10  __  63  27  27  27  11  14
__  67  67  08  58  05  23  __  45  45  45  45  63  27  19  27  42  __
__  67  67  14  58  05  23  45  45  45  51  51  63  67  41  27  14  __
58  58  67  14  23  05  23  45  45  06  51  24  63  67  67  27  27  27
__  __  60  14  05  05  45  45  45  06  51  51  63  47  69  27  42  27
__  60  60  14  05  23  45  56  10  40  __  51  63  63  63  63  63  27
__  22  22  14  67  23  23  23  23  23  23  51  51  58  13  42  42  27
08  48  22  14  41  41  23  32  23  14  23  23  51  58  44  42  39  27
__  47  36  14  08  08  23  32  32  14  25  36  51  60  42  42  67  27
__  49  49  14  67  08  23  23  58  14  25  25  25  25  42  22  __  __

### LAYER 6 ###
__  22  __  __  __  __  18  18  18  18  18  18  18  29  29  29  __  __
69  18  18  18  18  18  18  56  56  56  24  24  18  18  18  29  __  __
69  69  __  69  22  58  10  56  39  19  25  24  41  41  44  13  13  __
40  69  40  69  67  67  10  56  39  07  25  24  13  07  44  07  07  __
69  69  69  69  25  25  10  56  39  39  27  24  13  11  19  11  13  60
43  69  69  32  25  29  10  56  __  39  41  24  13  10  19  44  13  60
43  22  69  69  69  69  10  56  06  39  39  24  69  10  49  49  11  60
43  22  48  48  48  48  10  56  06  10  39  24  60  10  19  44  13  14
43  22  48  48  48  10  10  56  06  06  39  24  14  14  44  37  14  60
43  22  67  __  58  10  10  56  06  06  39  24  42  42  49  37  42  60
58  22  41  41  23  10  23  56  06  06  39  24  67  67  49  37  14  60
__  22  41  41  23  10  23  56  10  06  39  39  47  47  69  37  14  60
__  22  43  43  23  10  23  56  10  40  39  39  39  58  37  37  44  60
__  22  49  49  23  50  50  49  49  22  41  39  39  39  13  27  44  60
08  48  49  08  23  23  23  32  41  41  41  42  39  39  39  39  39  41
__  47  36  36  36  36  36  36  36  36  36  36  41  41  41  41  41  41
__  49  49  14  67  67  43  67  67  14  14  67  67  25  10  22  10  10

### LAYER 7 ###
__  22  __  __  __  __  __  __  __  29  29  29  29  29  29  29  __  __
__  22  __  __  __  __  __  __  29  29  29  25  25  25  25  25  __  __
__  22  22  22  22  22  __  29  29  29  25  25  19  19  44  25  __  __
40  40  40  40  40  22  29  29  29  07  13  13  19  19  44  25  07  __
__  40  40  40  40  22  29  29  29  60  27  60  60  19  44  25  13  60
43  __  __  32  40  29  29  29  __  __  27  27  13  13  13  13  25  25
43  08  48  32  40  69  69  69  69  69  69  69  69  69  44  49  13  25
43  08  48  32  40  40  48  48  10  10  60  60  60  69  44  49  14  14
43  08  48  32  __  40  40  40  10  27  27  14  14  69  44  49  49  25
43  67  67  32  32  32  40  40  10  41  41  14  42  69  44  13  49  25
43  48  67  32  32  32  40  40  10  67  67  67  49  69  13  13  49  25
43  48  67  43  23  32  32  40  10  49  14  14  47  47  13  44  49  25
43  48  67  67  23  32  32  40  40  40  48  47  47  41  13  44  49  25
43  48  50  67  23  23  32  32  47  47  47  47  41  41  13  27  49  25
43  48  08  08  67  23  32  32  47  47  49  49  49  49  49  49  49  25
43  47  47  47  47  47  47  47  47  49  49  41  41  14  14  42  14  25
43  49  49  49  49  49  49  49  49  49  14  14  14  14  14  14  14  22
